DATE,INDPRO_CHG
1989-03-01,0.1449
1989-04-01,0.0433
1989-05-01,-0.4240
1989-06-01,0.0303
1989-07-01,-0.5833
1989-08-01,0.5814
1989-09-01,-0.2214
1989-10-01,-0.0412
1989-11-01,0.2074
1989-12-01,0.3851
1990-01-01,-0.4239
1990-02-01,0.6218
1990-03-01,0.3134
1990-04-01,-0.0978
1990-05-01,0.1371
1990-06-01,0.2068
1990-07-01,-0.0836
1990-08-01,0.2121
1990-09-01,0.0819
1990-10-01,-0.4871
1990-11-01,-0.7521
1990-12-01,-0.4159
1991-01-01,-0.2742
1991-02-01,-0.4390
1991-03-01,-0.3272
1991-04-01,0.1225
1991-05-01,0.6231
1991-06-01,0.5726
1991-07-01,0.0756
1991-08-01,0.0543
1991-09-01,0.5659
1991-10-01,-0.1117
1991-11-01,-0.0733
1991-12-01,-0.2543
1992-01-01,-0.3563
1992-02-01,0.4537
1992-03-01,0.5301
1992-04-01,0.4876
1992-05-01,0.2114
1992-06-01,0.0093
1992-07-01,0.5877
1992-08-01,-0.3229
1992-09-01,0.1517
1992-10-01,0.4909
1992-11-01,0.2805
1992-12-01,0.0598
1993-01-01,0.2871
1993-02-01,0.2951
1993-03-01,-0.0936
1993-04-01,0.2342
1993-05-01,-0.2326
1993-06-01,0.1107
1993-07-01,0.2064
1993-08-01,-0.0705
1993-09-01,0.3205
1993-10-01,0.5170
1993-11-01,0.2811
1993-12-01,0.3728
1994-01-01,0.2594
1994-02-01,0.0188
1994-03-01,0.6930
1994-04-01,0.3937
1994-05-01,0.3578
1994-06-01,0.4482
1994-07-01,0.1083
1994-08-01,0.4207
1994-09-01,0.2714
1994-10-01,0.6053
1994-11-01,0.4443
1994-12-01,0.7616
1995-01-01,0.1340
1995-02-01,-0.1194
1995-03-01,0.1056
1995-04-01,-0.0469
1995-05-01,0.2492
1995-06-01,0.2498
1995-07-01,-0.2938
1995-08-01,0.9286
1995-09-01,0.2987
1995-10-01,-0.0920
1995-11-01,0.1880
1995-12-01,0.2858
1996-01-01,-0.4914
1996-02-01,1.1503
1996-03-01,-0.0713
1996-04-01,0.6931
1996-05-01,0.5599
1996-06-01,0.6508
1996-07-01,-0.1007
1996-08-01,0.4498
1996-09-01,0.5372
1996-10-01,-0.0467
1996-11-01,0.6931
1996-12-01,0.5147
1997-01-01,0.1130
1997-02-01,0.9657
1997-03-01,0.5410
1997-04-01,0.0191
1997-05-01,0.4762
1997-06-01,0.3992
1997-07-01,0.6272
1997-08-01,0.8657
1997-09-01,0.7437
1997-10-01,0.7267
1997-11-01,0.7479
1997-12-01,0.2650
1998-01-01,0.4427
1998-02-01,0.1138
1998-03-01,0.0586
1998-04-01,0.3213
1998-05-01,0.5541
1998-06-01,-0.5502
1998-07-01,-0.3027
1998-08-01,1.7824
1998-09-01,-0.1732
1998-10-01,0.7162
1998-11-01,-0.0579
1998-12-01,0.3309
1999-01-01,0.4187
1999-02-01,0.4792
1999-03-01,0.1433
1999-04-01,0.2455
1999-05-01,0.6246
1999-06-01,-0.1526
1999-07-01,0.5772
1999-08-01,0.3863
1999-09-01,-0.3889
1999-10-01,1.2239
1999-11-01,0.4392
1999-12-01,0.7222
2000-01-01,0.0165
2000-02-01,0.2799
2000-03-01,0.3423
2000-04-01,0.6828
2000-05-01,0.1627
2000-06-01,0.0918
2000-07-01,-0.1447
2000-08-01,-0.2794
2000-09-01,0.3678
2000-10-01,-0.2820
2000-11-01,0.0259
2000-12-01,-0.2656
2001-01-01,-0.6125
2001-02-01,-0.6050
2001-03-01,-0.2197
2001-04-01,-0.2732
2001-05-01,-0.5709
2001-06-01,-0.5552
2001-07-01,-0.5275
2001-08-01,-0.1138
2001-09-01,-0.3506
2001-10-01,-0.3974
2001-11-01,-0.4455
2001-12-01,0.0213
2002-01-01,0.5721
2002-02-01,-0.0241
2002-03-01,0.7427
2002-04-01,0.3791
2002-05-01,0.3897
2002-06-01,0.8808
2002-07-01,-0.2239
2002-08-01,0.0122
2002-09-01,0.1295
2002-10-01,-0.2820
2002-11-01,0.4859
2002-12-01,-0.4590
2003-01-01,0.7095
2003-02-01,0.1334
2003-03-01,-0.2174
2003-04-01,-0.6701
2003-05-01,0.0261
2003-06-01,0.1558
2003-07-01,0.4106
2003-08-01,-0.1336
2003-09-01,0.5505
2003-10-01,0.1328
2003-11-01,0.7259
2003-12-01,-0.0676
2004-01-01,0.2423
2004-02-01,0.5762
2004-03-01,-0.4759
2004-04-01,0.4297
2004-05-01,0.7581
2004-06-01,-0.7947
2004-07-01,0.7366
2004-08-01,0.0710
2004-09-01,0.0812
2004-10-01,0.9187
2004-11-01,0.2043
2004-12-01,0.7181
2005-01-01,0.4527
2005-02-01,0.6794
2005-03-01,-0.1578
2005-04-01,0.1673
2005-05-01,0.1299
2005-06-01,0.3820
2005-07-01,-0.3161
2005-08-01,0.2743
2005-09-01,-1.8656
2005-10-01,1.2370
2005-11-01,1.0067
2005-12-01,0.6221
2006-01-01,0.1190
2006-02-01,0.0042
2006-03-01,0.2082
2006-04-01,0.4062
2006-05-01,-0.1023
2006-06-01,0.3903
2006-07-01,-0.0374
2006-08-01,0.4008
2006-09-01,-0.2075
2006-10-01,-0.0584
2006-11-01,-0.0980
2006-12-01,1.0604
2007-01-01,-0.5359
2007-02-01,1.0331
2007-03-01,0.2257
2007-04-01,0.7293
2007-05-01,0.0508
2007-06-01,0.0295
2007-07-01,-0.0390
2007-08-01,0.2329
2007-09-01,0.4055
2007-10-01,-0.4440
2007-11-01,0.6167
2007-12-01,0.0119
2008-01-01,-0.2838
2008-02-01,-0.3525
2008-03-01,-0.2478
2008-04-01,-0.7912
2008-05-01,-0.5841
2008-06-01,-0.2418
2008-07-01,-0.5443
2008-08-01,-1.5649
2008-09-01,-4.3687
2008-10-01,0.9166
2008-11-01,-1.2227
2008-12-01,-2.8084
2009-01-01,-2.2148
2009-02-01,-0.5871
2009-03-01,-1.4342
2009-04-01,-0.7104
2009-05-01,-0.8901
2009-06-01,-0.3413
2009-07-01,0.9581
2009-08-01,0.9867
2009-09-01,0.6736
2009-10-01,0.2871
2009-11-01,0.3578
2009-12-01,0.2757
2010-01-01,1.0510
2010-02-01,0.3298
2010-03-01,0.6053
2010-04-01,0.3443
2010-05-01,1.3561
2010-06-01,0.1400
2010-07-01,0.4139
2010-08-01,0.2912
2010-09-01,0.2189
2010-10-01,-0.2528
2010-11-01,0.0274
2010-12-01,0.9216
2011-01-01,-0.1235
2011-02-01,-0.4210
2011-03-01,0.9489
2011-04-01,-0.3456
2011-05-01,0.2190
2011-06-01,0.2777
2011-07-01,0.5138
2011-08-01,0.5439
2011-09-01,-0.0237
2011-10-01,0.6728
2011-11-01,-0.0789
2011-12-01,0.5443
2012-01-01,0.6049
2012-02-01,0.2278
2012-03-01,-0.4652
2012-04-01,0.7455
2012-05-01,0.1918
2012-06-01,-0.0196
2012-07-01,0.2626
2012-08-01,-0.4794
2012-09-01,0.0489
2012-10-01,0.2118
2012-11-01,0.4824
2012-12-01,0.3551
